Series ID,Year,Period,Label,Value,1-Month % Change,12-Month % Change
LAUCA097200000000003,1996,M01,1996 Jan,5.6,27.3,0.0
LAUCA097200000000003,1996,M02,1996 Feb,5.4,-3.6,0.0
LAUCA097200000000003,1996,M03,1996 Mar,5.1,-5.6,0.0
LAUCA097200000000003,1996,M04,1996 Apr,4.9,-3.9,-2.0
LAUCA097200000000003,1996,M05,1996 May,5.0,2.0,0.0
LAUCA097200000000003,1996,M06,1996 Jun,5.0,0.0,-3.8
LAUCA097200000000003,1996,M07,1996 Jul,5.3,6.0,-1.9
LAUCA097200000000003,1996,M08,1996 Aug,4.7,-11.3,-7.8
LAUCA097200000000003,1996,M09,1996 Sep,4.7,0.0,-2.1
LAUCA097200000000003,1996,M10,1996 Oct,4.5,-4.3,-2.2
LAUCA097200000000003,1996,M11,1996 Nov,4.6,2.2,0.0
LAUCA097200000000003,1996,M12,1996 Dec,4.4,-4.3,0.0
LAUCA097200000000003,1997,M01,1997 Jan,5.5,25.0,-1.8
LAUCA097200000000003,1997,M02,1997 Feb,5.4,-1.8,0.0
LAUCA097200000000003,1997,M03,1997 Mar,5.0,-7.4,-2.0
LAUCA097200000000003,1997,M04,1997 Apr,4.6,-8.0,-6.1
LAUCA097200000000003,1997,M05,1997 May,4.6,0.0,-8.0
LAUCA097200000000003,1997,M06,1997 Jun,4.7,2.2,-6.0
LAUCA097200000000003,1997,M07,1997 Jul,4.6,-2.1,-13.2
LAUCA097200000000003,1997,M08,1997 Aug,4.3,-6.5,-8.5
LAUCA097200000000003,1997,M09,1997 Sep,4.0,-7.0,-14.9
LAUCA097200000000003,1997,M10,1997 Oct,3.6,-10.0,-20.0
LAUCA097200000000003,1997,M11,1997 Nov,3.5,-2.8,-23.9
LAUCA097200000000003,1997,M12,1997 Dec,3.2,-8.6,-27.3
LAUCA097200000000003,1998,M01,1998 Jan,4.1,28.1,-25.5
LAUCA097200000000003,1998,M02,1998 Feb,4.0,-2.4,-25.9
LAUCA097200000000003,1998,M03,1998 Mar,3.7,-7.5,-26.0
LAUCA097200000000003,1998,M04,1998 Apr,3.0,-18.9,-34.8
LAUCA097200000000003,1998,M05,1998 May,3.1,3.3,-32.6
LAUCA097200000000003,1998,M06,1998 Jun,3.3,6.5,-29.8
LAUCA097200000000003,1998,M07,1998 Jul,3.3,0.0,-28.3
LAUCA097200000000003,1998,M08,1998 Aug,2.9,-12.1,-32.6
LAUCA097200000000003,1998,M09,1998 Sep,2.7,-6.9,-32.5
LAUCA097200000000003,1998,M10,1998 Oct,2.4,-11.1,-33.3
LAUCA097200000000003,1998,M11,1998 Nov,2.4,0.0,-31.4
LAUCA097200000000003,1998,M12,1998 Dec,2.1,-12.5,-34.4
LAUCA097200000000003,1999,M01,1999 Jan,3.0,42.9,-26.8
LAUCA097200000000003,1999,M02,1999 Feb,3.1,3.3,-22.5
LAUCA097200000000003,1999,M03,1999 Mar,2.7,-12.9,-27.0
LAUCA097200000000003,1999,M04,1999 Apr,2.4,-11.1,-20.0
LAUCA097200000000003,1999,M05,1999 May,2.4,0.0,-22.6
LAUCA097200000000003,1999,M06,1999 Jun,2.6,8.3,-21.2
LAUCA097200000000003,1999,M07,1999 Jul,2.7,3.8,-18.2
LAUCA097200000000003,1999,M08,1999 Aug,2.3,-14.8,-20.7
LAUCA097200000000003,1999,M09,1999 Sep,2.1,-8.7,-22.2
LAUCA097200000000003,1999,M10,1999 Oct,1.9,-9.5,-20.8
LAUCA097200000000003,1999,M11,1999 Nov,1.9,0.0,-20.8
LAUCA097200000000003,1999,M12,1999 Dec,1.6,-15.8,-23.8
LAUCA097200000000003,2000,M01,2000 Jan,2.6,62.5,-13.3
LAUCA097200000000003,2000,M02,2000 Feb,2.7,3.8,-12.9
LAUCA097200000000003,2000,M03,2000 Mar,2.3,-14.8,-14.8
LAUCA097200000000003,2000,M04,2000 Apr,1.8,-21.7,-25.0
LAUCA097200000000003,2000,M05,2000 May,2.0,11.1,-16.7
LAUCA097200000000003,2000,M06,2000 Jun,2.2,10.0,-15.4
LAUCA097200000000003,2000,M07,2000 Jul,2.3,4.5,-14.8
LAUCA097200000000003,2000,M08,2000 Aug,2.1,-8.7,-8.7
LAUCA097200000000003,2000,M09,2000 Sep,1.7,-19.0,-19.0
LAUCA097200000000003,2000,M10,2000 Oct,1.6,-5.9,-15.8
LAUCA097200000000003,2000,M11,2000 Nov,1.7,6.3,-10.5
LAUCA097200000000003,2000,M12,2000 Dec,1.6,-5.9,0.0
LAUCA097200000000003,2001,M01,2001 Jan,2.9,81.3,11.5
LAUCA097200000000003,2001,M02,2001 Feb,2.9,0.0,7.4
LAUCA097200000000003,2001,M03,2001 Mar,2.8,-3.4,21.7
LAUCA097200000000003,2001,M04,2001 Apr,2.4,-14.3,33.3
LAUCA097200000000003,2001,M05,2001 May,2.6,8.3,30.0
LAUCA097200000000003,2001,M06,2001 Jun,3.0,15.4,36.4
LAUCA097200000000003,2001,M07,2001 Jul,3.1,3.3,34.8
LAUCA097200000000003,2001,M08,2001 Aug,3.2,3.2,52.4
LAUCA097200000000003,2001,M09,2001 Sep,2.9,-9.4,70.6
LAUCA097200000000003,2001,M10,2001 Oct,2.9,0.0,81.3
LAUCA097200000000003,2001,M11,2001 Nov,3.1,6.9,82.4
LAUCA097200000000003,2001,M12,2001 Dec,3.0,-3.2,87.5
LAUCA097200000000003,2002,M01,2002 Jan,4.3,43.3,48.3
LAUCA097200000000003,2002,M02,2002 Feb,4.3,0.0,48.3
LAUCA097200000000003,2002,M03,2002 Mar,4.2,-2.3,50.0
LAUCA097200000000003,2002,M04,2002 Apr,3.9,-7.1,62.5
LAUCA097200000000003,2002,M05,2002 May,4.1,5.1,57.7
LAUCA097200000000003,2002,M06,2002 Jun,4.5,9.8,50.0
LAUCA097200000000003,2002,M07,2002 Jul,4.8,6.7,54.8
LAUCA097200000000003,2002,M08,2002 Aug,4.6,-4.2,43.8
LAUCA097200000000003,2002,M09,2002 Sep,4.4,-4.3,51.7
LAUCA097200000000003,2002,M10,2002 Oct,4.4,0.0,51.7
LAUCA097200000000003,2002,M11,2002 Nov,4.6,4.5,48.4
LAUCA097200000000003,2002,M12,2002 Dec,4.5,-2.2,50.0
LAUCA097200000000003,2003,M01,2003 Jan,5.6,24.4,30.2
LAUCA097200000000003,2003,M02,2003 Feb,5.6,0.0,30.2
LAUCA097200000000003,2003,M03,2003 Mar,5.4,-3.6,28.6
