Series ID,Year,Period,Label,Value,1-Month % Change,12-Month % Change
LAUPT481900008500003,1996,M01,1996 Jan,2.1,5.0,-8.7
LAUPT481900008500003,1996,M02,1996 Feb,2.0,-4.8,-4.8
LAUPT481900008500003,1996,M03,1996 Mar,1.9,-5.0,-9.5
LAUPT481900008500003,1996,M04,1996 Apr,1.8,-5.3,-18.2
LAUPT481900008500003,1996,M05,1996 May,1.8,0.0,-14.3
LAUPT481900008500003,1996,M06,1996 Jun,2.0,11.1,-20.0
LAUPT481900008500003,1996,M07,1996 Jul,1.8,-10.0,-28.0
LAUPT481900008500003,1996,M08,1996 Aug,1.6,-11.1,-33.3
LAUPT481900008500003,1996,M09,1996 Sep,1.6,0.0,-33.3
LAUPT481900008500003,1996,M10,1996 Oct,1.5,-6.3,-31.8
LAUPT481900008500003,1996,M11,1996 Nov,1.6,6.7,-23.8
LAUPT481900008500003,1996,M12,1996 Dec,1.4,-12.5,-30.0
LAUPT481900008500003,1997,M01,1997 Jan,1.6,14.3,-23.8
LAUPT481900008500003,1997,M02,1997 Feb,1.7,6.3,-15.0
LAUPT481900008500003,1997,M03,1997 Mar,1.7,0.0,-10.5
LAUPT481900008500003,1997,M04,1997 Apr,1.5,-11.8,-16.7
LAUPT481900008500003,1997,M05,1997 May,1.5,0.0,-16.7
LAUPT481900008500003,1997,M06,1997 Jun,1.8,20.0,-10.0
LAUPT481900008500003,1997,M07,1997 Jul,1.8,0.0,0.0
LAUPT481900008500003,1997,M08,1997 Aug,1.7,-5.6,6.3
LAUPT481900008500003,1997,M09,1997 Sep,1.6,-5.9,0.0
LAUPT481900008500003,1997,M10,1997 Oct,1.5,-6.3,0.0
LAUPT481900008500003,1997,M11,1997 Nov,1.4,-6.7,-12.5
LAUPT481900008500003,1997,M12,1997 Dec,1.3,-7.1,-7.1
LAUPT481900008500003,1998,M01,1998 Jan,1.5,15.4,-6.3
LAUPT481900008500003,1998,M02,1998 Feb,1.4,-6.7,-17.6
LAUPT481900008500003,1998,M03,1998 Mar,1.4,0.0,-17.6
LAUPT481900008500003,1998,M04,1998 Apr,1.2,-14.3,-20.0
LAUPT481900008500003,1998,M05,1998 May,1.4,16.7,-6.7
LAUPT481900008500003,1998,M06,1998 Jun,1.7,21.4,-5.6
LAUPT481900008500003,1998,M07,1998 Jul,1.7,0.0,-5.6
LAUPT481900008500003,1998,M08,1998 Aug,1.5,-11.8,-11.8
LAUPT481900008500003,1998,M09,1998 Sep,1.5,0.0,-6.3
LAUPT481900008500003,1998,M10,1998 Oct,1.3,-13.3,-13.3
LAUPT481900008500003,1998,M11,1998 Nov,1.3,0.0,-7.1
LAUPT481900008500003,1998,M12,1998 Dec,1.2,-7.7,-7.7
LAUPT481900008500003,1999,M01,1999 Jan,1.4,16.7,-6.7
LAUPT481900008500003,1999,M02,1999 Feb,1.4,0.0,0.0
LAUPT481900008500003,1999,M03,1999 Mar,1.4,0.0,0.0
LAUPT481900008500003,1999,M04,1999 Apr,1.3,-7.1,8.3
LAUPT481900008500003,1999,M05,1999 May,1.4,7.7,0.0
LAUPT481900008500003,1999,M06,1999 Jun,1.6,14.3,-5.9
LAUPT481900008500003,1999,M07,1999 Jul,1.6,0.0,-5.9
LAUPT481900008500003,1999,M08,1999 Aug,1.5,-6.3,0.0
LAUPT481900008500003,1999,M09,1999 Sep,1.5,0.0,0.0
LAUPT481900008500003,1999,M10,1999 Oct,1.4,-6.7,7.7
LAUPT481900008500003,1999,M11,1999 Nov,1.3,-7.1,0.0
LAUPT481900008500003,1999,M12,1999 Dec,1.3,0.0,8.3
LAUPT481900008500003,2000,M01,2000 Jan,3.1,138.5,121.4
LAUPT481900008500003,2000,M02,2000 Feb,3.1,0.0,121.4
