,DATE,Unemployement,unemp_1_Month_Change,unemp_1_Year_Change,HPI,HPI_1_Quarter_Change,HPI_1_Year_Change,Per_Capita_Income,Income_1_Year_Change,CLF,CLF_1_Year_Change,POP,POP_1_Year_Change,GDP,GDP_1_Year_Change,State,MSA,HPI_in_1_year,HPI_in_2_years,HPI_in_3_years
0,1996-01-01,5.2,-0.018867925,-0.10344827599999999,105.54,0.011694785,0.0554,0.026047,0.054449032,568.415,,,,,,NV,Las Vegas-Henderson-Paradise,106.07,110.33,112.27
1,1996-02-01,5.2,0.0,-0.10344827599999999,,,,,,577.357,0.015731463807253432,,,,,NV,Las Vegas-Henderson-Paradise,,,
2,1996-03-01,5.1,-0.019230768999999998,-0.10526315800000001,,,,,,579.212,0.0032129167915171397,,,,,NV,Las Vegas-Henderson-Paradise,,,
3,1996-04-01,5.0,-0.019607843,-0.122807018,104.76,-0.007390563,0.025149232,,,582.085,0.004960187288937545,,,,,NV,Las Vegas-Henderson-Paradise,106.16,110.46,112.22
4,1996-05-01,5.0,0.0,-0.107142857,,,,,,587.022,0.00848157915081127,,,,,NV,Las Vegas-Henderson-Paradise,,,
5,1996-06-01,5.0,0.0,-0.107142857,,,,,,590.648,0.006176940557593991,,,,,NV,Las Vegas-Henderson-Paradise,,,
6,1996-07-01,4.9,-0.02,-0.109090909,104.48,-0.002672776,0.009566142,,,598.934,0.014028660047947339,,,,,NV,Las Vegas-Henderson-Paradise,107.61,110.93,113.07
7,1996-08-01,4.9,0.0,-0.109090909,,,,,,599.491,0.0009299856077631397,,,,,NV,Las Vegas-Henderson-Paradise,,,
8,1996-09-01,4.8,-0.020408163,-0.127272727,,,,,,604.869,0.008970943683891841,,,,,NV,Las Vegas-Henderson-Paradise,,,
9,1996-10-01,4.8,0.0,-0.127272727,105.64,0.011102603,0.012653373999999998,,,609.12,0.007027968039360566,,,,,NV,Las Vegas-Henderson-Paradise,108.85,111.85,113.17
10,1996-11-01,4.7,-0.020833333,-0.12962963,,,,,,612.766,0.00598568426582613,,,,,NV,Las Vegas-Henderson-Paradise,,,
11,1996-12-01,4.6,-0.021276596000000002,-0.132075472,,,,,,614.109,0.0021917012366874378,,,,,NV,Las Vegas-Henderson-Paradise,,,
12,1997-01-01,4.5,-0.02173913,-0.134615385,106.07,0.004070428,0.005021793,0.026909,0.033094022,614.269,0.0002605400669912772,,,,,NV,Las Vegas-Henderson-Paradise,110.33,112.27,114.54
13,1997-02-01,4.4,-0.022222222000000003,-0.153846154,,,,,,621.966,0.012530340941834917,,,,,NV,Las Vegas-Henderson-Paradise,,,
14,1997-03-01,4.4,0.0,-0.13725490199999998,,,,,,625.506,0.00569162944598256,,,,,NV,Las Vegas-Henderson-Paradise,,,
15,1997-04-01,4.3,-0.022727273,-0.14,106.16,0.000848496,0.013363878999999999,,,625.938,0.0006906408571620837,,,,,NV,Las Vegas-Henderson-Paradise,110.46,112.22,116.03
16,1997-05-01,4.2,-0.023255814,-0.16,,,,,,631.156,0.00833628889762239,,,,,NV,Las Vegas-Henderson-Paradise,,,
17,1997-06-01,4.2,0.0,-0.16,,,,,,636.01,0.007690650172065272,,,,,NV,Las Vegas-Henderson-Paradise,,,
18,1997-07-01,4.2,0.0,-0.14285714300000002,107.61,0.013658628,0.029957887000000002,,,641.321,0.008350497633685006,,,,,NV,Las Vegas-Henderson-Paradise,110.93,113.07,117.39
19,1997-08-01,4.2,0.0,-0.14285714300000002,,,,,,641.981,0.0010291258199870423,,,,,NV,Las Vegas-Henderson-Paradise,,,
20,1997-09-01,4.2,0.0,-0.125,,,,,,646.365,0.006828862536430336,,,,,NV,Las Vegas-Henderson-Paradise,,,
21,1997-10-01,4.3,0.023809524,-0.10416666699999999,108.85,0.011523093,0.030386217000000004,,,648.167,0.002787898478413986,,,,,NV,Las Vegas-Henderson-Paradise,111.85,113.17,119.3
22,1997-11-01,4.3,0.0,-0.08510638300000001,,,,,,648.807,0.0009873998521985339,,,,,NV,Las Vegas-Henderson-Paradise,,,
23,1997-12-01,4.4,0.023255814,-0.043478261,,,,,,647.927,-0.001356335551250254,,,,,NV,Las Vegas-Henderson-Paradise,,,
24,1998-01-01,4.4,0.0,-0.022222222000000003,110.33,0.013596693,0.040162157000000004,0.028711,0.066966442,647.977,7.716918726941024e-05,,,,,NV,Las Vegas-Henderson-Paradise,112.27,114.54,121.86
25,1998-02-01,4.4,0.0,0.0,,,,,,653.552,0.008603700439984818,,,,,NV,Las Vegas-Henderson-Paradise,,,
26,1998-03-01,4.4,0.0,0.0,,,,,,651.873,-0.002569038117854361,,,,,NV,Las Vegas-Henderson-Paradise,,,
27,1998-04-01,4.3,-0.022727273,0.0,110.46,0.001178283,0.040504898,,,652.679,0.0012364371587716416,,,,,NV,Las Vegas-Henderson-Paradise,112.22,116.03,123.65
28,1998-05-01,4.2,-0.023255814,0.0,,,,,,655.024,0.0035928840976957588,,,,,NV,Las Vegas-Henderson-Paradise,,,
29,1998-06-01,4.1,-0.023809524,-0.023809524,,,,,,660.797,0.008813417523632738,,,,,NV,Las Vegas-Henderson-Paradise,,,
30,1998-07-01,4.0,-0.024390244,-0.047619048,110.93,0.004254934,0.030852151,,,666.071,0.007981271101412446,,,,,NV,Las Vegas-Henderson-Paradise,113.07,117.39,125.78
31,1998-08-01,3.9,-0.025,-0.071428571,,,,,,665.868,-0.00030477231406256244,,,,,NV,Las Vegas-Henderson-Paradise,,,
32,1998-09-01,3.9,0.0,-0.071428571,,,,,,671.097,0.007852907783524543,,,,,NV,Las Vegas-Henderson-Paradise,,,
33,1998-10-01,3.8,-0.025641026,-0.11627907,111.85,0.008293518,0.027560863999999997,,,677.433,0.009441258119169182,,,,,NV,Las Vegas-Henderson-Paradise,113.17,119.3,127.43
34,1998-11-01,3.7,-0.026315789,-0.139534884,,,,,,681.022,0.005297940903380871,,,,,NV,Las Vegas-Henderson-Paradise,,,
35,1998-12-01,3.7,0.0,-0.159090909,,,,,,682.118,0.0016093459535815313,,,,,NV,Las Vegas-Henderson-Paradise,,,
36,1999-01-01,3.6,-0.027027027000000002,-0.181818182,112.27,0.0037550290000000004,0.017583613,0.029647,0.032600745,685.389,0.004795357987914084,,,,,NV,Las Vegas-Henderson-Paradise,114.54,121.86,129.01
37,1999-02-01,3.6,0.0,-0.181818182,,,,,,691.894,0.009490960607771548,,,,,NV,Las Vegas-Henderson-Paradise,,,
38,1999-03-01,3.7,0.027777778,-0.159090909,,,,,,691.506,-0.0005607795413749006,,,,,NV,Las Vegas-Henderson-Paradise,,,
39,1999-04-01,3.8,0.027027027000000002,-0.11627907,112.22,-0.000445355,0.01593337,,,695.321,0.005516944176912508,,,,,NV,Las Vegas-Henderson-Paradise,116.03,123.65,130.86
40,1999-05-01,3.9,0.026315789,-0.071428571,,,,,,701.575,0.008994406899834884,,,,,NV,Las Vegas-Henderson-Paradise,,,
41,1999-06-01,4.0,0.025641026,-0.024390244,,,,,,705.815,0.006043544881160212,,,,,NV,Las Vegas-Henderson-Paradise,,,
42,1999-07-01,4.1,0.025,0.025,113.07,0.007574406999999999,0.019291445,,,710.139,0.006126251213136591,,,,,NV,Las Vegas-Henderson-Paradise,117.39,125.78,133.54
43,1999-08-01,4.1,0.0,0.051282050999999995,,,,,,710.72,0.0008181496861883186,,,,,NV,Las Vegas-Henderson-Paradise,,,
44,1999-09-01,4.1,0.0,0.051282050999999995,,,,,,715.268,0.006399144529491307,,,,,NV,Las Vegas-Henderson-Paradise,,,
45,1999-10-01,4.1,0.0,0.078947368,113.17,0.000884408,0.01180152,,,720.533,0.007360877321507475,,,,,NV,Las Vegas-Henderson-Paradise,119.3,127.43,134.47
46,1999-11-01,4.1,0.0,0.10810810800000001,,,,,,724.113,0.004968544119422713,,,,,NV,Las Vegas-Henderson-Paradise,,,
47,1999-12-01,4.1,0.0,0.10810810800000001,,,,,,724.979,0.0011959459366148728,,,,,NV,Las Vegas-Henderson-Paradise,,,
48,2000-01-01,4.1,0.0,0.13888888900000002,114.54,0.012105682,0.020219115,0.030984,0.045097312,716.504,-0.011689993779130159,1393.37,,,,NV,Las Vegas-Henderson-Paradise,121.86,129.01,136.68
49,2000-02-01,4.2,0.024390244,0.166666667,,,,,,722.057,0.007750131192568288,,,,,NV,Las Vegas-Henderson-Paradise,,,
50,2000-03-01,4.1,-0.023809524,0.10810810800000001,,,,,,722.809,0.001041469025298447,,,,,NV,Las Vegas-Henderson-Paradise,,,
51,2000-04-01,4.1,0.0,0.078947368,116.03,0.013008556000000001,0.033951167000000004,,,723.26,0.0006239545993478313,,,,,NV,Las Vegas-Henderson-Paradise,123.65,130.86,139.3
52,2000-05-01,4.1,0.0,0.051282050999999995,,,,,,726.471,0.0044396206066974475,,,,,NV,Las Vegas-Henderson-Paradise,,,
53,2000-06-01,4.1,0.0,0.025,,,,,,730.485,0.0055253409977824575,,,,,NV,Las Vegas-Henderson-Paradise,,,
54,2000-07-01,4.2,0.024390244,0.024390244,117.39,0.011721107,0.038206421000000004,,,731.764,0.0017508915309691897,,,,,NV,Las Vegas-Henderson-Paradise,125.78,133.54,143.14
55,2000-08-01,4.3,0.023809524,0.048780488,,,,,,735.587,0.00522436195276077,,,,,NV,Las Vegas-Henderson-Paradise,,,
56,2000-09-01,4.4,0.023255814,0.073170732,,,,,,740.356,0.006483257588837166,,,,,NV,Las Vegas-Henderson-Paradise,,,
