Series ID,Year,Period,Label,Value,1-Month % Change,12-Month % Change
LAUCA323320000000003,1996,M01,1996 Jan,5.9,11.3,-7.8
LAUCA323320000000003,1996,M02,1996 Feb,5.3,-10.2,-10.2
LAUCA323320000000003,1996,M03,1996 Mar,5.1,-3.8,-12.1
LAUCA323320000000003,1996,M04,1996 Apr,5.1,0.0,-12.1
LAUCA323320000000003,1996,M05,1996 May,5.0,-2.0,-7.4
LAUCA323320000000003,1996,M06,1996 Jun,5.2,4.0,-11.9
LAUCA323320000000003,1996,M07,1996 Jul,5.6,7.7,-8.2
LAUCA323320000000003,1996,M08,1996 Aug,5.1,-8.9,-10.5
LAUCA323320000000003,1996,M09,1996 Sep,5.2,2.0,-8.8
LAUCA323320000000003,1996,M10,1996 Oct,5.1,-1.9,-5.6
LAUCA323320000000003,1996,M11,1996 Nov,4.5,-11.8,-15.1
LAUCA323320000000003,1996,M12,1996 Dec,4.7,4.4,-11.3
LAUCA323320000000003,1997,M01,1997 Jan,5.0,6.4,-15.3
LAUCA323320000000003,1997,M02,1997 Feb,4.6,-8.0,-13.2
LAUCA323320000000003,1997,M03,1997 Mar,4.5,-2.2,-11.8
LAUCA323320000000003,1997,M04,1997 Apr,4.2,-6.7,-17.6
LAUCA323320000000003,1997,M05,1997 May,4.1,-2.4,-18.0
LAUCA323320000000003,1997,M06,1997 Jun,4.6,12.2,-11.5
LAUCA323320000000003,1997,M07,1997 Jul,4.5,-2.2,-19.6
LAUCA323320000000003,1997,M08,1997 Aug,4.2,-6.7,-17.6
LAUCA323320000000003,1997,M09,1997 Sep,4.5,7.1,-13.5
LAUCA323320000000003,1997,M10,1997 Oct,4.1,-8.9,-19.6
LAUCA323320000000003,1997,M11,1997 Nov,3.8,-7.3,-15.6
LAUCA323320000000003,1997,M12,1997 Dec,4.0,5.3,-14.9
LAUCA323320000000003,1998,M01,1998 Jan,4.7,17.5,-6.0
LAUCA323320000000003,1998,M02,1998 Feb,4.2,-10.6,-8.7
LAUCA323320000000003,1998,M03,1998 Mar,4.4,4.8,-2.2
LAUCA323320000000003,1998,M04,1998 Apr,3.9,-11.4,-7.1
LAUCA323320000000003,1998,M05,1998 May,3.8,-2.6,-7.3
LAUCA323320000000003,1998,M06,1998 Jun,4.4,15.8,-4.3
LAUCA323320000000003,1998,M07,1998 Jul,4.4,0.0,-2.2
LAUCA323320000000003,1998,M08,1998 Aug,4.1,-6.8,-2.4
LAUCA323320000000003,1998,M09,1998 Sep,4.1,0.0,-8.9
LAUCA323320000000003,1998,M10,1998 Oct,3.9,-4.9,-4.9
LAUCA323320000000003,1998,M11,1998 Nov,3.6,-7.7,-5.3
LAUCA323320000000003,1998,M12,1998 Dec,3.5,-2.8,-12.5
LAUCA323320000000003,1999,M01,1999 Jan,4.1,17.1,-12.8
LAUCA323320000000003,1999,M02,1999 Feb,3.7,-9.8,-11.9
LAUCA323320000000003,1999,M03,1999 Mar,3.7,0.0,-15.9
LAUCA323320000000003,1999,M04,1999 Apr,3.9,5.4,0.0
LAUCA323320000000003,1999,M05,1999 May,3.8,-2.6,0.0
LAUCA323320000000003,1999,M06,1999 Jun,4.4,15.8,0.0
LAUCA323320000000003,1999,M07,1999 Jul,4.5,2.3,2.3
LAUCA323320000000003,1999,M08,1999 Aug,4.2,-6.7,2.4
LAUCA323320000000003,1999,M09,1999 Sep,4.3,2.4,4.9
LAUCA323320000000003,1999,M10,1999 Oct,4.0,-7.0,2.6
LAUCA323320000000003,1999,M11,1999 Nov,3.8,-5.0,5.6
LAUCA323320000000003,1999,M12,1999 Dec,3.8,0.0,8.6
LAUCA323320000000003,2000,M01,2000 Jan,4.5,18.4,9.8
LAUCA323320000000003,2000,M02,2000 Feb,4.2,-6.7,13.5
LAUCA323320000000003,2000,M03,2000 Mar,4.2,0.0,13.5
LAUCA323320000000003,2000,M04,2000 Apr,3.9,-7.1,0.0
LAUCA323320000000003,2000,M05,2000 May,3.9,0.0,2.6
LAUCA323320000000003,2000,M06,2000 Jun,4.4,12.8,0.0
LAUCA323320000000003,2000,M07,2000 Jul,4.4,0.0,-2.2
LAUCA323320000000003,2000,M08,2000 Aug,4.4,0.0,4.8
