,DATE,gdp,MSA,State,1_Year_change
0,2001-01-01,227330.48,Miami-Fort Lauderdale-West Palm Beach,FL,
1,2002-01-01,235551.486,Miami-Fort Lauderdale-West Palm Beach,FL,0.03616323688754797
2,2003-01-01,243706.3,Miami-Fort Lauderdale-West Palm Beach,FL,0.034620091507297834
3,2004-01-01,256710.794,Miami-Fort Lauderdale-West Palm Beach,FL,0.05336133698636436
4,2005-01-01,273400.152,Miami-Fort Lauderdale-West Palm Beach,FL,0.06501229550947518
5,2006-01-01,277877.52,Miami-Fort Lauderdale-West Palm Beach,FL,0.01637661123173051
6,2007-01-01,275981.507,Miami-Fort Lauderdale-West Palm Beach,FL,-0.006823196781085561
7,2008-01-01,264868.591,Miami-Fort Lauderdale-West Palm Beach,FL,-0.040266886433082516
8,2009-01-01,249459.91,Miami-Fort Lauderdale-West Palm Beach,FL,-0.058174813940094605
9,2010-01-01,256952.064,Miami-Fort Lauderdale-West Palm Beach,FL,0.03003349917026754
10,2011-01-01,257241.258,Miami-Fort Lauderdale-West Palm Beach,FL,0.0011254784082994629
11,2012-01-01,257307.873,Miami-Fort Lauderdale-West Palm Beach,FL,0.00025895923740182347
12,2013-01-01,264714.315,Miami-Fort Lauderdale-West Palm Beach,FL,0.028784358261746634
13,2014-01-01,274142.22,Miami-Fort Lauderdale-West Palm Beach,FL,0.03561539541222003
14,2015-01-01,286750.31,Miami-Fort Lauderdale-West Palm Beach,FL,0.04599105529969094
15,2016-01-01,297035.334,Miami-Fort Lauderdale-West Palm Beach,FL,0.03586752530450621
16,2017-01-01,309116.994,Miami-Fort Lauderdale-West Palm Beach,FL,0.040674150907582085
17,2018-01-01,321547.437,Miami-Fort Lauderdale-West Palm Beach,FL,0.04021274546943854
18,2019-01-01,327129.154,Miami-Fort Lauderdale-West Palm Beach,FL,0.017358922378846398
19,2001-01-01,70141.0,San Francisco-Oakland-Hayward,CA (MSA),
20,2002-01-01,70153.0,San Francisco-Oakland-Hayward,CA (MSA),0.00017108395945308885
21,2003-01-01,70751.0,San Francisco-Oakland-Hayward,CA (MSA),0.008524225621142412
22,2004-01-01,72537.0,San Francisco-Oakland-Hayward,CA (MSA),0.025243459456403494
23,2005-01-01,76355.0,San Francisco-Oakland-Hayward,CA (MSA),0.05263520685994738
24,2006-01-01,78850.0,San Francisco-Oakland-Hayward,CA (MSA),0.032676314583196975
