,DATE,population,MSA,State,1_Year_change
0,1990-01-01,2580.897,St Louis,MO-IL,
1,1991-01-01,2599.946,St Louis,MO-IL,0.007380767229377971
2,1992-01-01,2611.145,St Louis,MO-IL,0.004307397153633152
3,1993-01-01,2627.085,St Louis,MO-IL,0.006104601621127914
4,1994-01-01,2638.156,St Louis,MO-IL,0.004214176549293125
5,1995-01-01,2651.219,St Louis,MO-IL,0.004951564653492779
6,1996-01-01,2662.281,St Louis,MO-IL,0.004172420309299207
7,1997-01-01,2673.687,St Louis,MO-IL,0.004284296060408366
8,1998-01-01,2679.865,St Louis,MO-IL,0.0023106668806034403
9,1999-01-01,2689.48,St Louis,MO-IL,0.0035878672992857297
10,2000-01-01,2701.634,St Louis,MO-IL,0.004519089191962866
11,2001-01-01,2719.279,St Louis,MO-IL,0.006531232579986668
12,2002-01-01,2733.818,St Louis,MO-IL,0.005346637840398127
13,2003-01-01,2743.862,St Louis,MO-IL,0.003673982686484667
14,2004-01-01,2759.153,St Louis,MO-IL,0.005572802130719312
15,2005-01-01,2773.155,St Louis,MO-IL,0.005074745764370503
16,2006-01-01,2791.682,St Louis,MO-IL,0.006680838251017285
17,2007-01-01,2806.368,St Louis,MO-IL,0.005260627822223363
18,2008-01-01,2818.688,St Louis,MO-IL,0.004390015849667694
19,2009-01-01,2828.99,St Louis,MO-IL,0.003654891921347714
20,2010-01-01,2789.989,St Louis,MO-IL,-0.013786192245288875
21,2011-01-01,2795.155,St Louis,MO-IL,0.0018516202035205875
22,2012-01-01,2796.682,St Louis,MO-IL,0.0005463024411882511
23,2013-01-01,2799.472,St Louis,MO-IL,0.0009976107401556966
24,2014-01-01,2803.43,St Louis,MO-IL,0.0014138380380299687
25,2015-01-01,2807.503,St Louis,MO-IL,0.0014528630998456027
26,2016-01-01,2805.502,St Louis,MO-IL,-0.0007127329872844701
27,2017-01-01,2805.758,St Louis,MO-IL,9.124926661963073e-05
28,2018-01-01,2803.958,St Louis,MO-IL,-0.0006415378660595827
29,2019-01-01,2803.228,St Louis,MO-IL,-0.0002603462676687984
30,1990-01-01,1055.973,Louisville-Jefferson County,KY-IN,
31,1991-01-01,1068.074,Louisville-Jefferson County,KY-IN,0.011459573303484127
