,DATE,population,MSA,State,1_Year_change,Civilian_pop_ratio
0,1990-01-01,2580897.0,St Louis,MO-IL,,
1,1991-01-01,2599946.0,St Louis,MO-IL,0.0073807672293779705,
2,1992-01-01,2611145.0,St Louis,MO-IL,0.004307397153633152,
3,1993-01-01,2627085.0,St Louis,MO-IL,0.006104601621127914,
4,1994-01-01,2638156.0,St Louis,MO-IL,0.004214176549293125,
5,1995-01-01,2651219.0,St Louis,MO-IL,0.004951564653492779,
6,1996-01-01,2662281.0,St Louis,MO-IL,0.004172420309299207,
7,1997-01-01,2673687.0,St Louis,MO-IL,0.004284296060408366,
8,1998-01-01,2679865.0,St Louis,MO-IL,0.0023106668806034407,
9,1999-01-01,2689480.0,St Louis,MO-IL,0.0035878672992857297,
10,2000-01-01,2701634.0,St Louis,MO-IL,0.004519089191962865,
11,2001-01-01,2719279.0000000005,St Louis,MO-IL,0.006531232579986668,
12,2002-01-01,2733817.9999999995,St Louis,MO-IL,0.005346637840398127,
13,2003-01-01,2743862.0,St Louis,MO-IL,0.003673982686484667,
14,2004-01-01,2759153.0,St Louis,MO-IL,0.005572802130719312,
15,2005-01-01,2773155.0,St Louis,MO-IL,0.005074745764370503,
16,2006-01-01,2791682.0000000005,St Louis,MO-IL,0.006680838251017285,
17,2007-01-01,2806368.0,St Louis,MO-IL,0.0052606278222233635,
18,2008-01-01,2818688.0,St Louis,MO-IL,0.0043900158496676936,
19,2009-01-01,2828990.0,St Louis,MO-IL,0.0036548919213477142,
20,2010-01-01,2789989.0,St Louis,MO-IL,-0.013786192245288877,
21,2011-01-01,2795155.0,St Louis,MO-IL,0.0018516202035205875,
22,2012-01-01,2796682.0000000005,St Louis,MO-IL,0.0005463024411882512,
23,2013-01-01,2799472.0,St Louis,MO-IL,0.0009976107401556966,
24,2014-01-01,2803430.0,St Louis,MO-IL,0.0014138380380299687,
25,2015-01-01,2807502.9999999995,St Louis,MO-IL,0.0014528630998456027,
26,2016-01-01,2805502.0,St Louis,MO-IL,-0.0007127329872844701,
27,2017-01-01,2805758.0,St Louis,MO-IL,9.124926661963073e-05,
28,2018-01-01,2803958.0,St Louis,MO-IL,-0.0006415378660595827,
29,2019-01-01,2803228.0,St Louis,MO-IL,-0.00026034626766879837,
30,1990-01-01,1055973.0,Louisville-Jefferson County,KY-IN,,0.5196733249808471
31,1991-01-01,1068073.9999999998,Louisville-Jefferson County,KY-IN,0.011459573303484127,0.5071942580757515
32,1992-01-01,1079142.0,Louisville-Jefferson County,KY-IN,0.010362577873817669,0.5145384018043965
33,1993-01-01,1091379.0,Louisville-Jefferson County,KY-IN,0.0113395642093439,0.5135310465017194
34,1994-01-01,1101885.0,Louisville-Jefferson County,KY-IN,0.009626353448252134,0.5203238087459218
35,1995-01-01,1113226.0,Louisville-Jefferson County,KY-IN,0.010292362633124164,0.5256758286277898
36,1996-01-01,1122587.0,Louisville-Jefferson County,KY-IN,0.008408894510189224,0.5228922123630507
37,1997-01-01,1132487.0,Louisville-Jefferson County,KY-IN,0.008818915594069887,0.528103192354526
38,1998-01-01,1142147.0,Louisville-Jefferson County,KY-IN,0.008529899239461347,0.5262571280229252
39,1999-01-01,1153972.0,Louisville-Jefferson County,KY-IN,0.010353308286936924,0.5324713251274727
40,2000-01-01,1165132.0,Louisville-Jefferson County,KY-IN,0.009670945222241212,0.5136001757740754
41,2001-01-01,1172461.0,Louisville-Jefferson County,KY-IN,0.006290274406676621,0.5017420622093187
42,2002-01-01,1180018.0,Louisville-Jefferson County,KY-IN,0.006445416947770566,0.49316112127103146
43,2003-01-01,1190011.0,Louisville-Jefferson County,KY-IN,0.008468514887060906,0.494850047604602
44,2004-01-01,1200010.0,Louisville-Jefferson County,KY-IN,0.008402443338759058,0.48805676619361504
45,2005-01-01,1209493.0,Louisville-Jefferson County,KY-IN,0.007902434146382031,0.4901458710385261
46,2006-01-01,1222543.9999999998,Louisville-Jefferson County,KY-IN,0.010790471710047322,0.4948697143006715
47,2007-01-01,1237027.0,Louisville-Jefferson County,KY-IN,0.011846608383829116,0.4913425495158958
48,2008-01-01,1249739.0,Louisville-Jefferson County,KY-IN,0.010276251043833229,0.4900687263500619
49,2009-01-01,1258577.0,Louisville-Jefferson County,KY-IN,0.007071876607835703,0.49294242624805634
50,2010-01-01,1204655.0,Louisville-Jefferson County,KY-IN,-0.04284362418826981,0.5212870074834703
51,2011-01-01,1211869.0,Louisville-Jefferson County,KY-IN,0.005988436523319818,0.5192937520474573
52,2012-01-01,1220183.0,Louisville-Jefferson County,KY-IN,0.0068604774938545434,0.5232928175527769
53,2013-01-01,1232178.0,Louisville-Jefferson County,KY-IN,0.00983049263921898,0.5231305866522532
